"id","lat","lon"
280,20.9927492,105.9425745
294,21.5079247,105.8057541
298,20.9757135,105.7608434
321,10.813337,106.6766585
323,16.0617152,108.2344898
329,10.2901811,105.7635421
442,21.3132649,105.5962829
494,10.5365865,106.4114212
523,20.9835398,105.8454287
535,10.7902822,106.618963
537,10.8086211,106.615904
538,21.0875032,105.6610107
539,19.9148413,105.8866444
561,11.8136341,106.9523921
694,10.3311672,107.0864357
696,10.824095,106.7610401
697,10.8305165,106.7813121
698,10.7279108,106.6135343
718,16.0512067,108.2163387
725,20.962679,105.7628122
726,20.8506579,106.6772422
727,21.0200779,105.8535988
756,20.4396676,106.3379797
757,19.8035051,105.7681559
761,21.031762,105.8234792
775,16.4601613,107.5970403
813,10.5196343,105.8419887
814,16.058663,108.21715
815,10.3510321,106.3425025
816,19.795684,105.792238
817,13.9781728,107.995509
818,13.1892852,108.2057018
819,20.988872,105.8450393
820,10.0056407,105.0894924
821,10.0286518,105.7476283
822,16.4528563,107.5894849
823,10.3393964,106.0313219
827,10.9360827,108.0973056
829,20.99643,105.8174329
835,21.0472121,105.8065424
836,10.3474389,107.0864063
837,10.755961,106.7071737
838,10.7582673,106.641584
839,9.183147,105.1453795
840,20.2479335,105.9830225
841,21.0625368,105.8932694
842,10.7294438,106.5789928
844,20.9776297,105.7749579
845,20.5398274,105.962678
846,21.009626,105.8486183
847,10.9303512,108.0903843
848,10.9859671,106.6820644
850,20.7397497,105.6883266
852,20.9924907,105.8171277
853,10.9277916,108.0909001
854,20.4360909,106.1849061
855,10.7059159,106.6199112
856,9.9346147,106.3340331
857,13.7873481,109.2168886
858,10.2725016,105.5280694
859,16.0357451,108.2153048
860,15.5950758,101.589286
861,20.9517883,107.0823908
862,10.8177087,106.7190815
863,10.9359633,108.2839996
864,20.1581351,105.9218209
865,11.3166109,106.0889034
866,10.9020784,106.8900144
867,10.98062,106.8619578
868,21.0625368,105.8954581
871,20.9854698,105.7811934
872,22.4936688,103.976368
873,22.4952134,103.9593831
874,16.4785786,107.58092
875,12.682345,108.0280303
876,16.0810289,108.228786
877,10.9654391,106.9475608
879,16.0245068,108.176182
880,16.0772679,108.2113954
881,20.9880157,105.8599741
882,11.2774545,106.4774102
